conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1885837506039718108,Sat Feb 01 23:47:53 +0000 2025,217,Baru kali ini nulis op-ed nggak sebagai profesional tapi sebagai slow reader yang prihatin. Nggak nawarin solusi juga Makasih @jakpost mau memberikan ruang :) Aku tag figur yang kayaknya suka baca ya: Pak @aniesbaswedan Pak @prabowo Mbak @NajwaShihab https://t.co/N0r2sQtfeD,1885837506039718108.1,https://pbs.twimg.com/media/GivXNpGb0AA8_-W.jpg,Unnamed: 6,in,Unnamed: 8,2,2.1,68,https://x.com/undefined/status/1885837506039718108,69806285,Unnamed: 14,1897797749695037858,Thu Mar 06 23:53:37 +0000 2025,2384,Jalan Mundur Demokrasi Indonesia Masyarakat sipil melihat terjadi gejala kemerosotan demokrasi pada awal pemerintahan Prabowo Subianto. Penilaian masyarakat sipil ini sejalan dengan hasil riset The Economist Intelligence Unit (EIU). Hasil riset lembaga kajian dan analisis yang https://t.co/JkdRqt5Zz9,1897797749695037858.1,https://pbs.twimg.com/media/GlZU_jsbwAAj6Hj.jpg,16,40,1027,https://x.com/undefined/status/1897797749695037858,18129942,1921682434594091108,Sun May 11 21:42:50 +0000 2025,Salut les pd https://t.co/2h3UT180wb,1921682434594091108.1,https://pbs.twimg.com/media/Gqsv_YwWUAAQwwW.jpg,fr,0,0.1,0.2,https://x.com/undefined/status/1921682434594091108,1532858223916613632
1.939097615788024e+18,Sat Jun 28 23:04:32 +0000 2025,0.0,Mari kita dukung Program Makan Bergizi Gratis https://t.co/PdmLFLqqks,1.939097615788024e+18,https://pbs.twimg.com/media/GukO_yhXgAASVZW.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939097615788024058,4573630957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390875862676936e+18,Sat Jun 28 22:24:41 +0000 2025,0.0,Program Makan Bergizi Gratis Langkah Strategis Mengatasi Kurang Gizi. https://t.co/SrrSNH7S84,1.9390875862676936e+18,https://pbs.twimg.com/media/GukF3_BWkAA6m2x.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939087586267693553,9.066667633617183e+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390314869232353e+18,Sat Jun 28 18:41:46 +0000 2025,4.0,Presiden Prabowo Blak-blakan Nyatakan Perang Terhadap Korupsi: Itu Tujuan Kita https://t.co/muvd8u0D3G https://t.co/JZHGrcxCK6,1.9390314869232353e+18,https://pbs.twimg.com/media/GujS2CrWQAAnB2Q.jpg,,in,,0.0,0.0,3.0,https://x.com/undefined/status/1939031486923235387,2651602135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390996402947113e+18,Sat Jun 28 23:12:35 +0000 2025,1.0,Dukung dan Sukseskan Program Makan Bergizi Gratis. #FaktaIndonesia #MakanBergiziGratis #DukungMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/3FHQ2xg9mi,1.9390996402947113e+18,https://pbs.twimg.com/media/GukQ2JzWcAAtwaC.jpg,,in,,0.0,1.0,0.0,https://x.com/undefined/status/1939099640294711423,1.7040647715308995e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390883793434465e+18,Sat Jun 28 22:27:50 +0000 2025,1.0,Pemerintah melalui Badan Gizi Nasional (BGN) menargetkan program Makan Bergizi Gratis (MBG) dapat menyerap hingga 1 5 juta tenaga kerja jika 32.000 unit Satuan Pelayanan Pemenuhan Gizi (SPPG) berhasil dibangun hingga akhir November 2025. Saat ini sudah beroperasi 1.837 unit SPPG https://t.co/c8GRV2BSP0,1.9390883793434465e+18,https://pbs.twimg.com/media/GukGmp0XcAAyUbf.jpg,,in,,0.0,1.0,0.0,https://x.com/undefined/status/1939088379343446517,1.4268357034181632e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390944003507325e+18,Sat Jun 28 22:51:46 +0000 2025,0.0,slamat pagi makzulkan prabowo gibran adili jokowi turunkan fadli zon,1.9390944003507325e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939094400350732473,1.1848636329595372e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390907198448394e+18,Sat Jun 28 22:37:08 +0000 2025,1.0,Prabowo itu unggul di strategi perang semesta. Strategi ini sekarang mudah dimengerti ketika Nadiem Makarim dicekal Sumut diguncang OTT KPK yang kemungkinan bakal nyeret Bobby Gibran dibiarkan bermain di sangkar kecil sementara biangnya dibikin ribet sama isu ijazah palsu.,1.9390907198448394e+18,,,in,,0.0,1.0,0.0,https://x.com/undefined/status/1939090719844839445,358261338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390996402947113e+18,Sat Jun 28 23:12:50 +0000 2025,1.0,Dukung bersama Program Makan Bergizi Gratis untuk membuaat masa depan anak-anak menjadi cerah dan membentuk SDM yang unggul dan membanggakan. #FaktaIndonesia #MakanBergiziGratis #DukungMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/ahotlCx09j,1.9390997009359585e+18,https://pbs.twimg.com/media/GukQ5oXXQAA1rHH.jpg,HYulianda27992,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939099700935958546,1.7040647715308995e+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390673063925926e+18,Sat Jun 28 21:04:06 +0000 2025,0.0,Mau ikut audisi tapi takut nanti JD pemeran suami yg berangkat kerja doang https://t.co/Rs7BrbxLdB,1.9390673063925926e+18,https://pbs.twimg.com/ext_tw_video_thumb/1939067291590606848/pu/img/XZM1-Cwts2Fszwbp.jpg,,in,,1.0,0.0,0.0,https://x.com/undefined/status/1939067306392592672,1373921305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9390706788395013e+18,Sat Jun 28 21:17:30 +0000 2025,0.0,Kenal nyaman syg dan tiba2 minjem duit Kelakuan siapa itu ? Aku lah https://t.co/aX2JVKoch6,1.9390706788395013e+18,https://pbs.twimg.com/ext_tw_video_thumb/1939070641728090112/pu/img/41z41Wa9XJQBwGoY.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939070678839501248,1373921305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
