conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.939149611199091e+18,Sun Jun 29 17:59:28 +0000 2025,1.0,@WagimanDeep212_ Yang makan bergizi gratis saat liburan...makhluk halus,1.9393832309329428e+18,,WagimanDeep212_,in,,0.0,1.0,0.0,https://x.com/undefined/status/1939383230932942876,278039207.0,
1.9393247072387484e+18,Sun Jun 29 14:06:55 +0000 2025,0.0,Manfaat Program Makan Bergizi Gratis #FaktaIndonesia #MakanBergiziGratis #ManfaatMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/H2JpgydrcS,1.9393247072387484e+18,https://pbs.twimg.com/media/GundimwXsAAUZrC.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939324707238748346,359802769.0,
1.9392759104920783e+18,Sun Jun 29 12:36:48 +0000 2025,0.0,@Notforeize Makan bergizi gratis? Kek kenal slogan gitu tapi udah gaada lagi skrg,1.939302028154692e+18,,Notforeize,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939302028154691613,3272969605.0,
1.9393857286116316e+18,Sun Jun 29 18:09:24 +0000 2025,0.0,mbg minggu belum gajian,1.9393857286116316e+18,,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1939385728611631399,1.8473526181774828e+18,
1.940409332279214e+18,Wed Jul 02 13:56:50 +0000 2025,73.0,Boun mbg btw https://t.co/aRNLyUjnnH,1.940409332279214e+18,https://pbs.twimg.com/media/Gu23941XkAAlO4n.jpg,,in,,1.0,2.0,1.0,https://x.com/undefined/status/1940409332279214148,1.3899780110223688e+18,
1.9405347943388324e+18,Wed Jul 02 22:15:23 +0000 2025,17.0,MBG is big madz at @OhNoItsAlexx https://t.co/qOQQ9caX3k,1.9405347943388324e+18,https://pbs.twimg.com/amplify_video_thumb/1940534508404572160/img/UFNHtM6FT9K5aIHL.jpg,,tl,,1.0,2.0,1.0,https://x.com/undefined/status/1940534794338832393,2195310499.0,
1.9405367920690796e+18,Wed Jul 02 22:23:19 +0000 2025,1.0,SPPG Polri diluncurkan di momen puncak peringatan Hari Bhayangkara ke-79 di Monas. Guna mendukung Makan Bergizi Gratis (MBG). SPPG Polri ini akan dibangun di seluruh Indonesia. Lanjutkan MBG. #MBGuntukIndonesiaHebat Topan Tidur nanami Gift Card https://t.co/8jD98vZT5j,1.9405367920690796e+18,https://pbs.twimg.com/media/Gu4r6jdW4AA1E1d.jpg,,in,,0.0,0.0,0.0,https://x.com/undefined/status/1940536792069079330,1.440314501023236e+18,
1.940525854611985e+18,Wed Jul 02 21:39:51 +0000 2025,177.0,Dukung MBG Polri Bangun 139 Satuan Pelayanan Pemenuhan Gizi (SPPG) Per Juni 2025 #MBGUntukIndonesiaEmas https://t.co/CqydKZT7nc,1.940525854611985e+18,https://pbs.twimg.com/amplify_video_thumb/1940525810009436161/img/V0TjyAhC8T9FGQlX.jpg,,in,,0.0,193.0,174.0,https://x.com/undefined/status/1940525854611984868,2377352785.0,
1.9403386950199217e+18,Wed Jul 02 09:16:09 +0000 2025,2.0,MBG disponsori BPJS https://t.co/1B8u4lTt9M,1.9403386950199217e+18,https://pbs.twimg.com/media/Gu13vafXsAEJbkz.jpg,,in,,0.0,2.0,0.0,https://x.com/undefined/status/1940338695019921742,1.79184958924041e+18,
1.940401918825927e+18,Wed Jul 02 13:27:23 +0000 2025,11.0,Ada yg berminat? Proyek Makan Bergizi Gratis (MBG) Modal awal yg wajib disiapkan pengusaha penyedia MBG itu: 1. Bangun unit dapur MBG senilai Rp. 4 5 Milyar/unit 2. Biaya awal Dapur 1-2 M. Kalau NU dgn 1.000 dapur MBG maka NU harus menyediakan modal 4-6 T. Banyak ya duit NU. https://t.co/d6xUtWSFiC,1.940401918825927e+18,https://pbs.twimg.com/media/Gu2xQNxXgAAT1ca.jpg,,in,,1.0,9.0,6.0,https://x.com/undefined/status/1940401918825926835,1.038483432391635e+18,
